title,content,comments,감정
춤추는 사이퍼 jpg.,,[댓글 없음],슬픔
와ㅋㅋㅋㅋㅋ,,[댓글 없음],슬픔
와ㅋㅋㅋ,,[댓글 없음],슬픔
이벤트 그나마 재미있던 점,1이미지 순서 ON마우스 커서를 올리면이미지 순서를 ON/OFF 할 수 있습니다.2이미지 순서 ON3이미지 순서 ON용으로 빙의해서 플레이어들을 양학하고 코인 뺏는거 좋았음마치 데바데에서 헌터가 된 느낌그래서 일부러 코인 적게 먹어서 용이 되어서 코인 약탈하고 다님약한놈들 괴롭히는건 즐거워,ㄹㅇ 롤보다 무서운게임임 ㄷ,슬픔
코시호 말라니없으면 뭐로잡냐,타수안넘기고 컷은 그냥 무리고 마시실베로 번개쉴드까고 잡는게 맞겠지?,실드까고 잡는거 가정하면 차라리 풀쓰는 조합이 나을듯 | 마시실베도 고스펙이면 실드전에 잡을텐데 | 여기 고닉들은 코시호 연비로 잡던데? | https://youtu.be/m7mYpHRbpas,슬픔
사진 이쁘게찍음,몬드 애들이야- dc official App,인싸기만 | 친구가 많구나 | 소루쉬도잇네 | 인싸,슬픔
부계 공월 걍 지르지 말까,키울캐릭도 없고4성 키우더라도 필드 잡몹 재료 캐가면서 키우긴 귀찮아서지맥만 돌고있는데스커크 반천 칠 재화만 모을까 아니면 걍 유기할까푸리나 없고 에스코삣삐 야란 아야카 2돌이랑 굴리고있음유라2돌이랑 소 있는데 죄다 고인이고덴덴이 명함은 메인딜 쓰기엔 체급이 아쉽고,[댓글 없음],슬픔
본인 느비예트 없는데,느비 복각하면 뽑을만함?,ㄴㄴㄴㄴ | 느선족 따이이잇 당한지 오래 | 이제 느비는 끝났슴 | 5.2때 뽑았는데 하도 물고로시해대서 나선에서 딱 두번 씀 | 난 솔직히 언제 쓴지 기억도 안남이벤트 다수전 편하게 하려고 뽑았는데 그런것도 안나오고 | 명함만 할거면 굳이,슬픔
스커크때 불벼림 석륜 레벨 열림?,불인장 385개잇는데 쓰질 못하네,5.8에열릴걸  - dc App,슬픔
코코미씨발년,으로 6행시해보겠습니다코끝에 스치는 향기처럼코코미님의 존재는 상큼하고 은은하네요..미모는 물론 지성까지 겸비하셨죠씨앗처럼 모든 이에게 희망을 품어주시는 분발끝까지 흐르는 그 품격에 감탄이 절로 납니다년중에 오늘이 가장 빛나는 이유는 코코미님이 계셔서예요사랑합니다 코코미님,[댓글 없음],슬픔
ㄴ모르겠고 푸리나 공연 시작할께~,- dc official App,[댓글 없음],슬픔
